scenario_id,transaction_id,amount,failure_code,failure_type,initial_attempt_count,recovery_probability,actual_recovery,allowed_action,gateway_response,verification_result,final_state,escalation_required,recovered_amount
SC0000041,TX0000041,366.97,CARD_BLOCKED,HARD_FAILURE,1,0.01,0,REQUEST_PAYMENT_METHOD_UPDATE,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000042,TX0000042,2769.42,EXPIRED_CARD,CUSTOMER_ACTION_REQUIRED,1,0.3533,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000043,TX0000043,2062.52,NETWORK_ERROR,TRANSIENT,1,0.7914,1,RETRY_PAYMENT,PAYMENT_SUCCESS_CONFIRMED,VERIFIED_SUCCESS,RECOVERED,0,2062.52
SC0000044,TX0000044,3511.74,INVALID_CARD,HARD_FAILURE,1,0.0252,0,REQUEST_PAYMENT_METHOD_UPDATE,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000045,TX0000045,7839.02,NETWORK_ERROR,TRANSIENT,0,0.9415,1,RETRY_PAYMENT,PAYMENT_SUCCESS,VERIFIED_SUCCESS,RECOVERED,0,7839.02
SC0000046,TX0000046,1121.27,CARD_BLOCKED,HARD_FAILURE,1,0.01,0,REQUEST_PAYMENT_METHOD_UPDATE,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000047,TX0000047,4495.82,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,3,0.0924,1,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000048,TX0000048,1526.32,BANK_TIMEOUT,TRANSIENT,2,0.7811,1,ESCALATE,RETRY_LIMIT_REACHED,NOT_APPLICABLE,ESCALATED,1,0.0
SC0000049,TX0000049,2761.96,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,0,0.5166,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000050,TX0000050,2522.97,NETWORK_ERROR,TRANSIENT,0,0.8784,1,RETRY_PAYMENT,PAYMENT_SUCCESS_CONFIRMED,VERIFIED_SUCCESS,RECOVERED,0,2522.97
SC0000051,TX0000051,864.15,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,0,0.5339,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000052,TX0000052,4649.87,NETWORK_ERROR,TRANSIENT,0,0.8886,1,RETRY_PAYMENT,PAYMENT_SUCCESS_CONFIRMED,VERIFIED_SUCCESS,RECOVERED,0,4649.87
SC0000053,TX0000053,1142.29,BANK_TIMEOUT,TRANSIENT,0,0.98,1,RETRY_PAYMENT,PAYMENT_SUCCESS_CONFIRMED,VERIFIED_SUCCESS,RECOVERED,0,1142.29
SC0000054,TX0000054,1749.88,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,1,0.2327,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000055,TX0000055,3138.52,EXPIRED_CARD,CUSTOMER_ACTION_REQUIRED,1,0.4093,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000056,TX0000056,1807.24,GATEWAY_TIMEOUT,TRANSIENT,0,0.8033,0,RETRY_PAYMENT,PAYMENT_FAILED,VERIFIED_FAILURE,RETRY_ALLOWED,0,0.0
SC0000057,TX0000057,3241.95,NETWORK_ERROR,TRANSIENT,0,0.9107,1,RETRY_PAYMENT,PAYMENT_SUCCESS_CONFIRMED,VERIFIED_SUCCESS,RECOVERED,0,3241.95
SC0000058,TX0000058,9167.71,BANK_TIMEOUT,TRANSIENT,0,0.8876,0,RETRY_PAYMENT,PAYMENT_FAILED,VERIFIED_FAILURE,RETRY_ALLOWED,0,0.0
SC0000059,TX0000059,3211.65,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,0,0.5419,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000060,TX0000060,3134.84,BANK_TIMEOUT,TRANSIENT,0,0.9635,1,RETRY_PAYMENT,PAYMENT_SUCCESS,VERIFIED_SUCCESS,RECOVERED,0,3134.84
SC0000061,TX0000061,3351.35,EXPIRED_CARD,CUSTOMER_ACTION_REQUIRED,1,0.2923,1,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000062,TX0000062,2977.62,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,1,0.3362,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000063,TX0000063,759.56,EXPIRED_CARD,CUSTOMER_ACTION_REQUIRED,0,0.423,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000064,TX0000064,1179.52,BANK_TIMEOUT,TRANSIENT,0,0.7752,1,RETRY_PAYMENT,PAYMENT_SUCCESS,VERIFIED_SUCCESS,RECOVERED,0,1179.52
SC0000065,TX0000065,6551.32,GATEWAY_TIMEOUT,TRANSIENT,1,0.6816,1,RETRY_PAYMENT,PAYMENT_SUCCESS_CONFIRMED,VERIFIED_SUCCESS,RECOVERED,0,6551.32
SC0000066,TX0000066,1049.85,BANK_TIMEOUT,TRANSIENT,0,0.9677,1,RETRY_PAYMENT,PAYMENT_SUCCESS_CONFIRMED,VERIFIED_SUCCESS,RECOVERED,0,1049.85
SC0000067,TX0000067,1027.14,CARD_BLOCKED,HARD_FAILURE,0,0.01,0,REQUEST_PAYMENT_METHOD_UPDATE,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000068,TX0000068,6019.26,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,0,0.4156,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000069,TX0000069,2532.72,FRAUD_SUSPECTED,HARD_FAILURE,1,0.0735,0,HUMAN_REVIEW,BLOCKED_AUTOMATION,NOT_APPLICABLE,ESCALATED,1,0.0
SC0000070,TX0000070,612.56,BANK_TIMEOUT,TRANSIENT,3,0.6822,0,ESCALATE,RETRY_LIMIT_REACHED,NOT_APPLICABLE,ESCALATED,1,0.0
SC0000071,TX0000071,856.76,BANK_SERVER_ERROR,TRANSIENT,1,0.7996,0,RETRY_PAYMENT,BANK_DECLINED,VERIFIED_SUCCESS,RECOVERED,0,856.76
SC0000072,TX0000072,2208.16,GATEWAY_TIMEOUT,TRANSIENT,1,0.8377,0,RETRY_PAYMENT,PAYMENT_FAILED,VERIFIED_FAILURE,RETRY_ALLOWED,0,0.0
SC0000073,TX0000073,1071.97,NETWORK_ERROR,TRANSIENT,2,0.6781,0,ESCALATE,RETRY_LIMIT_REACHED,NOT_APPLICABLE,ESCALATED,1,0.0
SC0000074,TX0000074,990.29,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,0,0.3436,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000075,TX0000075,2972.7,BANK_TIMEOUT,TRANSIENT,1,0.8498,1,RETRY_PAYMENT,PAYMENT_SUCCESS,VERIFIED_SUCCESS,RECOVERED,0,2972.7
SC0000076,TX0000076,3149.5,BANK_SERVER_ERROR,TRANSIENT,2,0.4552,0,ESCALATE,RETRY_LIMIT_REACHED,NOT_APPLICABLE,ESCALATED,1,0.0
SC0000077,TX0000077,2649.84,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,0,0.4449,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000078,TX0000078,5981.9,BANK_SERVER_ERROR,TRANSIENT,1,0.7852,1,RETRY_PAYMENT,PAYMENT_SUCCESS_CONFIRMED,VERIFIED_SUCCESS,RECOVERED,0,5981.9
SC0000079,TX0000079,630.41,INVALID_CARD,HARD_FAILURE,0,0.0492,0,REQUEST_PAYMENT_METHOD_UPDATE,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000080,TX0000080,3389.69,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,0,0.4285,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000081,TX0000081,4184.3,BANK_TIMEOUT,TRANSIENT,0,0.98,1,RETRY_PAYMENT,PAYMENT_SUCCESS,VERIFIED_SUCCESS,RECOVERED,0,4184.3
SC0000082,TX0000082,9460.94,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,0,0.5569,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000083,TX0000083,1823.98,INVALID_CARD,HARD_FAILURE,2,0.01,0,REQUEST_PAYMENT_METHOD_UPDATE,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000084,TX0000084,2948.55,GATEWAY_TIMEOUT,TRANSIENT,0,0.9227,1,RETRY_PAYMENT,PAYMENT_SUCCESS,VERIFIED_SUCCESS,RECOVERED,0,2948.55
SC0000085,TX0000085,25303.67,NETWORK_ERROR,TRANSIENT,1,0.687,1,RETRY_PAYMENT,PAYMENT_SUCCESS,VERIFIED_SUCCESS,RECOVERED,0,25303.67
SC0000086,TX0000086,1651.62,BANK_SERVER_ERROR,TRANSIENT,0,0.9024,1,RETRY_PAYMENT,PAYMENT_SUCCESS,VERIFIED_SUCCESS,RECOVERED,0,1651.62
SC0000087,TX0000087,1559.49,CARD_BLOCKED,HARD_FAILURE,0,0.13,1,REQUEST_PAYMENT_METHOD_UPDATE,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000088,TX0000088,11901.58,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,1,0.4258,1,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000089,TX0000089,1204.33,EXPIRED_CARD,CUSTOMER_ACTION_REQUIRED,0,0.2967,1,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000090,TX0000090,27257.44,GATEWAY_TIMEOUT,TRANSIENT,1,0.871,1,RETRY_PAYMENT,PAYMENT_SUCCESS_CONFIRMED,VERIFIED_SUCCESS,RECOVERED,0,27257.44
SC0000091,TX0000091,329.94,CARD_BLOCKED,HARD_FAILURE,0,0.1385,0,REQUEST_PAYMENT_METHOD_UPDATE,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000092,TX0000092,1602.86,BANK_TIMEOUT,TRANSIENT,0,0.9052,1,RETRY_PAYMENT,PAYMENT_SUCCESS,VERIFIED_SUCCESS,RECOVERED,0,1602.86
SC0000093,TX0000093,4142.41,GATEWAY_TIMEOUT,TRANSIENT,0,0.916,1,RETRY_PAYMENT,PAYMENT_SUCCESS_CONFIRMED,VERIFIED_SUCCESS,RECOVERED,0,4142.41
SC0000094,TX0000094,1789.69,EXPIRED_CARD,CUSTOMER_ACTION_REQUIRED,2,0.0378,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000095,TX0000095,14610.57,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,0,0.4762,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000096,TX0000096,3645.84,EXPIRED_CARD,CUSTOMER_ACTION_REQUIRED,2,0.252,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000097,TX0000097,547.12,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,0,0.5133,1,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000098,TX0000098,1971.71,CARD_BLOCKED,HARD_FAILURE,3,0.01,0,REQUEST_PAYMENT_METHOD_UPDATE,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000099,TX0000099,100.0,EXPIRED_CARD,CUSTOMER_ACTION_REQUIRED,1,0.3418,1,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000100,TX0000100,340.05,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,0,0.4542,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000101,TX0000101,1610.02,NETWORK_ERROR,TRANSIENT,0,0.7546,1,RETRY_PAYMENT,PAYMENT_SUCCESS_CONFIRMED,VERIFIED_SUCCESS,RECOVERED,0,1610.02
SC0000102,TX0000102,2650.64,BANK_SERVER_ERROR,TRANSIENT,1,0.897,1,RETRY_PAYMENT,PAYMENT_SUCCESS,VERIFIED_SUCCESS,RECOVERED,0,2650.64
SC0000103,TX0000103,936.86,BANK_SERVER_ERROR,TRANSIENT,1,0.8086,1,RETRY_PAYMENT,PAYMENT_SUCCESS_CONFIRMED,VERIFIED_SUCCESS,RECOVERED,0,936.86
SC0000104,TX0000104,2041.8,FRAUD_SUSPECTED,HARD_FAILURE,0,0.0231,0,HUMAN_REVIEW,BLOCKED_AUTOMATION,NOT_APPLICABLE,ESCALATED,1,0.0
SC0000105,TX0000105,2800.53,BANK_TIMEOUT,TRANSIENT,1,0.7808,1,RETRY_PAYMENT,PAYMENT_SUCCESS_CONFIRMED,VERIFIED_SUCCESS,RECOVERED,0,2800.53
SC0000106,TX0000106,1351.42,BANK_TIMEOUT,TRANSIENT,1,0.8935,1,RETRY_PAYMENT,PAYMENT_SUCCESS_CONFIRMED,VERIFIED_SUCCESS,RECOVERED,0,1351.42
SC0000107,TX0000107,2147.93,FRAUD_SUSPECTED,HARD_FAILURE,2,0.01,0,HUMAN_REVIEW,BLOCKED_AUTOMATION,NOT_APPLICABLE,ESCALATED,1,0.0
SC0000108,TX0000108,1537.04,INVALID_CARD,HARD_FAILURE,0,0.1139,0,REQUEST_PAYMENT_METHOD_UPDATE,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000109,TX0000109,1386.7,NETWORK_ERROR,TRANSIENT,0,0.9092,1,RETRY_PAYMENT,PAYMENT_SUCCESS,VERIFIED_SUCCESS,RECOVERED,0,1386.7
SC0000110,TX0000110,6477.29,NETWORK_ERROR,TRANSIENT,2,0.746,0,ESCALATE,RETRY_LIMIT_REACHED,NOT_APPLICABLE,ESCALATED,1,0.0
SC0000111,TX0000111,5635.88,NETWORK_ERROR,TRANSIENT,0,0.8892,1,RETRY_PAYMENT,PAYMENT_SUCCESS,VERIFIED_SUCCESS,RECOVERED,0,5635.88
SC0000112,TX0000112,4340.67,NETWORK_ERROR,TRANSIENT,1,0.696,0,RETRY_PAYMENT,GATEWAY_TIMEOUT,VERIFIED_FAILURE,RETRY_ALLOWED,0,0.0
SC0000113,TX0000113,2448.29,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,2,0.354,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000114,TX0000114,1280.29,BANK_TIMEOUT,TRANSIENT,0,0.9075,0,RETRY_PAYMENT,GATEWAY_TIMEOUT,VERIFIED_FAILURE,RETRY_ALLOWED,0,0.0
SC0000115,TX0000115,2010.95,NETWORK_ERROR,TRANSIENT,1,0.6737,0,RETRY_PAYMENT,PAYMENT_FAILED,VERIFIED_FAILURE,RETRY_ALLOWED,0,0.0
SC0000116,TX0000116,1662.59,EXPIRED_CARD,CUSTOMER_ACTION_REQUIRED,0,0.3802,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000117,TX0000117,9223.64,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,1,0.3857,1,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000118,TX0000118,1968.09,BANK_TIMEOUT,TRANSIENT,0,0.9018,1,RETRY_PAYMENT,PAYMENT_SUCCESS_CONFIRMED,VERIFIED_SUCCESS,RECOVERED,0,1968.09
SC0000119,TX0000119,3457.19,NETWORK_ERROR,TRANSIENT,0,0.8831,0,RETRY_PAYMENT,GATEWAY_TIMEOUT,VERIFIED_FAILURE,RETRY_ALLOWED,0,0.0
SC0000120,TX0000120,16921.9,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,0,0.4929,1,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000121,TX0000121,914.18,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,0,0.5006,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000122,TX0000122,5403.08,EXPIRED_CARD,CUSTOMER_ACTION_REQUIRED,0,0.4951,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
SC0000123,TX0000123,2469.57,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,3,0.0497,0,PAYMENT_REMINDER,ACTION_REQUIRED,NOT_APPLICABLE,CUSTOMER_ACTION_REQUIRED,0,0.0
