transaction_id,customer_id,amount,payment_method,customer_type,customer_age_days,previous_transactions,previous_success_rate,failure_code,failure_type,attempt_count,time_since_failure_min,hour_of_day,is_weekend,true_recovery_probability,actual_recovery,recovered_amount,recovery_attempts,final_status
TX0000075,C00994,2972.7,DEBIT_CARD,LOYAL,1142,27,0.8805,BANK_TIMEOUT,TRANSIENT,1,661,0,1,0.8498,1,2972.7,2,RECOVERED
TX0000076,C04251,3149.5,CREDIT_CARD,NEW,29,1,0.5015,BANK_SERVER_ERROR,TRANSIENT,2,846,5,1,0.4552,0,0.0,3,ESCALATED
TX0000078,C00114,5981.9,CREDIT_CARD,RETURNING,344,8,0.7941,BANK_SERVER_ERROR,TRANSIENT,1,49,23,0,0.7852,1,5981.9,2,RECOVERED
TX0000079,C04819,630.41,DEBIT_CARD,NEW,8,0,0.8904,INVALID_CARD,HARD_FAILURE,0,660,10,0,0.0492,0,0.0,1,UNRECOVERED
TX0000083,C01036,1823.98,DEBIT_CARD,LOYAL,842,34,0.8952,INVALID_CARD,HARD_FAILURE,2,875,8,0,0.01,0,0.0,3,ESCALATED
TX0000084,C08752,2948.55,UPI,RETURNING,406,21,0.9362,GATEWAY_TIMEOUT,TRANSIENT,0,746,19,0,0.9227,1,2948.55,1,RECOVERED
TX0000085,C06574,25303.67,UPI,RETURNING,121,5,0.8546,NETWORK_ERROR,TRANSIENT,1,1307,2,1,0.687,1,25303.67,2,RECOVERED
TX0000086,C07777,1651.62,DEBIT_CARD,RETURNING,459,16,0.9616,BANK_SERVER_ERROR,TRANSIENT,0,944,23,0,0.9024,1,1651.62,1,RECOVERED
TX0000087,C08860,1559.49,UPI,RETURNING,239,14,0.9312,CARD_BLOCKED,HARD_FAILURE,0,1045,14,1,0.13,1,1559.49,1,RECOVERED
TX0000088,C01468,11901.58,UPI,LOYAL,914,78,0.8904,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,1,918,8,0,0.4258,1,11901.58,2,RECOVERED
TX0000091,C06667,329.94,CREDIT_CARD,LOYAL,938,28,0.8954,CARD_BLOCKED,HARD_FAILURE,0,952,22,1,0.1385,0,0.0,1,UNRECOVERED
TX0000092,C09576,1602.86,NET_BANKING,LOYAL,607,22,0.9077,BANK_TIMEOUT,TRANSIENT,0,1157,4,1,0.9052,1,1602.86,1,RECOVERED
TX0000093,C07929,4142.41,UPI,RETURNING,70,29,0.8573,GATEWAY_TIMEOUT,TRANSIENT,0,922,4,0,0.916,1,4142.41,1,RECOVERED
TX0000096,C02657,3645.84,CREDIT_CARD,RETURNING,95,7,0.8829,EXPIRED_CARD,CUSTOMER_ACTION_REQUIRED,2,661,21,0,0.252,0,0.0,3,ESCALATED
TX0000099,C09957,100.0,NET_BANKING,LOYAL,1513,29,0.9498,EXPIRED_CARD,CUSTOMER_ACTION_REQUIRED,1,1288,6,0,0.3418,1,100.0,2,RECOVERED
TX0000100,C00261,340.05,UPI,RETURNING,271,22,0.9068,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,0,1255,8,0,0.4542,0,0.0,1,UNRECOVERED
TX0000102,C02218,2650.64,DEBIT_CARD,LOYAL,1674,36,0.9533,BANK_SERVER_ERROR,TRANSIENT,1,654,7,0,0.897,1,2650.64,2,RECOVERED
TX0000107,C02183,2147.93,UPI,RETURNING,421,26,0.8894,FRAUD_SUSPECTED,HARD_FAILURE,2,524,12,0,0.01,0,0.0,3,ESCALATED
TX0000111,C04760,5635.88,NET_BANKING,RETURNING,454,24,0.8538,NETWORK_ERROR,TRANSIENT,0,216,2,0,0.8892,1,5635.88,1,RECOVERED
TX0000112,C09435,4340.67,UPI,NEW,60,3,0.8151,NETWORK_ERROR,TRANSIENT,1,980,18,1,0.696,0,0.0,2,UNRECOVERED
TX0000114,C06203,1280.29,UPI,RETURNING,336,18,0.7937,BANK_TIMEOUT,TRANSIENT,0,153,3,1,0.9075,0,0.0,1,UNRECOVERED
TX0000115,C06683,2010.95,UPI,NEW,48,1,0.5049,NETWORK_ERROR,TRANSIENT,1,516,15,0,0.6737,0,0.0,2,UNRECOVERED
TX0000116,C09612,1662.59,CREDIT_CARD,RETURNING,219,14,0.7747,EXPIRED_CARD,CUSTOMER_ACTION_REQUIRED,0,356,16,1,0.3802,0,0.0,1,UNRECOVERED
TX0000117,C05296,9223.64,UPI,RETURNING,178,22,0.9405,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,1,768,19,1,0.3857,1,9223.64,2,RECOVERED
TX0000118,C01938,1968.09,UPI,RETURNING,75,28,0.762,BANK_TIMEOUT,TRANSIENT,0,952,0,0,0.9018,1,1968.09,1,RECOVERED
TX0000119,C06039,3457.19,WALLET,RETURNING,95,5,0.7854,NETWORK_ERROR,TRANSIENT,0,1084,20,0,0.8831,0,0.0,1,UNRECOVERED
TX0000120,C09320,16921.9,UPI,RETURNING,108,29,0.8252,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,0,100,21,0,0.4929,1,16921.9,1,RECOVERED
TX0000123,C06291,2469.57,NET_BANKING,NEW,34,3,0.7287,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,3,98,9,0,0.0497,0,0.0,3,ESCALATED
TX0000124,C04402,309.21,CREDIT_CARD,NEW,52,0,0.8713,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,1,862,0,1,0.3121,0,0.0,2,UNRECOVERED
TX0000125,C01872,1095.04,DEBIT_CARD,RETURNING,75,22,0.7604,CARD_BLOCKED,HARD_FAILURE,1,497,12,1,0.01,0,0.0,2,UNRECOVERED
TX0000126,C09948,4618.79,UPI,RETURNING,359,7,0.9282,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,2,1063,4,0,0.296,1,4618.79,3,RECOVERED
TX0000127,C00606,3193.95,UPI,RETURNING,274,17,0.7843,NETWORK_ERROR,TRANSIENT,1,159,0,1,0.7334,1,3193.95,2,RECOVERED
TX0000128,C01369,4372.78,UPI,LOYAL,699,32,0.9634,GATEWAY_TIMEOUT,TRANSIENT,2,221,0,0,0.7827,1,4372.78,3,RECOVERED
TX0000129,C02274,587.55,DEBIT_CARD,LOYAL,1063,44,0.9611,CARD_BLOCKED,HARD_FAILURE,0,851,6,0,0.1251,0,0.0,1,UNRECOVERED
TX0000130,C00864,1286.68,UPI,LOYAL,1577,51,0.9525,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,2,1143,15,0,0.3721,1,1286.68,3,RECOVERED
TX0000131,C06810,3411.66,DEBIT_CARD,RETURNING,319,13,0.9539,CARD_BLOCKED,HARD_FAILURE,0,1309,16,0,0.1554,0,0.0,1,UNRECOVERED
TX0000132,C00985,1847.75,CREDIT_CARD,RETURNING,230,15,0.8099,GATEWAY_TIMEOUT,TRANSIENT,1,1438,2,1,0.7724,1,1847.75,2,RECOVERED
TX0000133,C06094,3452.19,UPI,LOYAL,665,94,0.9251,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,1,780,14,1,0.4306,0,0.0,2,UNRECOVERED
TX0000136,C03651,2680.34,DEBIT_CARD,RETURNING,90,15,0.8596,BANK_TIMEOUT,TRANSIENT,2,1093,5,0,0.7295,0,0.0,3,ESCALATED
TX0000137,C05800,2756.51,CREDIT_CARD,RETURNING,374,4,0.7508,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,1,1227,5,1,0.2884,0,0.0,2,UNRECOVERED
TX0000139,C08025,21530.56,DEBIT_CARD,RETURNING,111,21,0.8866,GATEWAY_TIMEOUT,TRANSIENT,0,1215,19,0,0.8825,1,21530.56,1,RECOVERED
TX0000140,C08175,2237.5,CREDIT_CARD,RETURNING,113,13,0.9024,BANK_TIMEOUT,TRANSIENT,0,799,15,0,0.97,1,2237.5,1,RECOVERED
TX0000141,C05110,1079.58,DEBIT_CARD,RETURNING,285,19,0.8104,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,0,756,3,0,0.4176,0,0.0,1,UNRECOVERED
TX0000142,C08774,7020.9,UPI,NEW,11,3,0.6932,FRAUD_SUSPECTED,HARD_FAILURE,0,471,0,1,0.01,0,0.0,1,UNRECOVERED
TX0000143,C05587,3518.54,WALLET,RETURNING,218,19,0.9572,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,0,274,13,0,0.5762,1,3518.54,1,RECOVERED
TX0000144,C06715,4426.63,CREDIT_CARD,RETURNING,94,12,0.8622,BANK_SERVER_ERROR,TRANSIENT,2,31,12,1,0.6898,1,4426.63,3,RECOVERED
TX0000145,C05853,667.68,UPI,NEW,32,1,0.8856,GATEWAY_TIMEOUT,TRANSIENT,2,36,14,1,0.6972,0,0.0,3,ESCALATED
TX0000146,C01342,2322.58,DEBIT_CARD,RETURNING,139,26,0.8734,BANK_TIMEOUT,TRANSIENT,0,182,2,0,0.9013,1,2322.58,1,RECOVERED
TX0000148,C00383,3293.42,NET_BANKING,RETURNING,373,9,0.8337,BANK_TIMEOUT,TRANSIENT,0,708,4,1,0.8954,1,3293.42,1,RECOVERED
TX0000149,C05719,507.56,WALLET,RETURNING,443,15,0.9712,NETWORK_ERROR,TRANSIENT,0,659,19,0,0.9178,1,507.56,1,RECOVERED
TX0000150,C02581,3240.35,DEBIT_CARD,NEW,8,2,0.6454,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,1,964,20,0,0.2889,0,0.0,2,UNRECOVERED
TX0000151,C09679,2513.14,UPI,NEW,36,2,0.5744,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,2,1397,14,1,0.1548,0,0.0,3,ESCALATED
TX0000153,C05778,2819.58,DEBIT_CARD,RETURNING,268,28,0.9117,NETWORK_ERROR,TRANSIENT,0,677,23,0,0.9308,1,2819.58,1,RECOVERED
TX0000154,C05423,7219.15,NET_BANKING,RETURNING,471,22,0.9298,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,0,859,23,1,0.521,1,7219.15,1,RECOVERED
TX0000155,C00842,3485.48,UPI,RETURNING,455,10,0.8539,INVALID_CARD,HARD_FAILURE,2,348,15,1,0.01,0,0.0,3,ESCALATED
TX0000156,C09650,2804.3,DEBIT_CARD,LOYAL,801,36,0.9581,INVALID_CARD,HARD_FAILURE,1,1153,5,1,0.0983,0,0.0,2,UNRECOVERED
TX0000157,C07015,19629.6,UPI,RETURNING,390,21,0.7654,NETWORK_ERROR,TRANSIENT,0,1279,5,0,0.8952,1,19629.6,1,RECOVERED
TX0000158,C09582,901.14,WALLET,RETURNING,333,22,0.9043,NETWORK_ERROR,TRANSIENT,0,292,18,0,0.9093,1,901.14,1,RECOVERED
TX0000159,C08471,4766.76,UPI,RETURNING,290,16,0.8727,NETWORK_ERROR,TRANSIENT,0,2,1,1,0.9024,1,4766.76,1,RECOVERED
TX0000162,C03305,6063.91,DEBIT_CARD,RETURNING,238,19,0.9041,GATEWAY_TIMEOUT,TRANSIENT,1,769,19,1,0.8226,1,6063.91,2,RECOVERED
TX0000163,C04659,11230.66,CREDIT_CARD,RETURNING,427,19,0.7831,BANK_TIMEOUT,TRANSIENT,1,890,9,0,0.8176,1,11230.66,2,RECOVERED
TX0000164,C00976,6671.46,CREDIT_CARD,LOYAL,1032,73,0.9265,NETWORK_ERROR,TRANSIENT,1,815,4,0,0.8399,0,0.0,2,UNRECOVERED
TX0000165,C06679,455.17,UPI,RETURNING,293,30,0.7622,BANK_SERVER_ERROR,TRANSIENT,0,1077,16,1,0.8392,1,455.17,1,RECOVERED
TX0000166,C08541,2484.55,UPI,NEW,11,3,0.6731,NETWORK_ERROR,TRANSIENT,2,1236,12,1,0.5884,1,2484.55,3,RECOVERED
TX0000167,C03581,678.29,DEBIT_CARD,RETURNING,261,22,0.7945,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,1,210,1,1,0.3354,1,678.29,2,RECOVERED
TX0000169,C03792,2348.11,UPI,RETURNING,425,29,0.9682,EXPIRED_CARD,CUSTOMER_ACTION_REQUIRED,0,577,11,1,0.4459,0,0.0,1,UNRECOVERED
TX0000170,C04093,1599.37,CREDIT_CARD,LOYAL,685,40,0.8906,BANK_TIMEOUT,TRANSIENT,0,1362,13,0,0.9708,1,1599.37,1,RECOVERED
TX0000171,C09911,1471.13,NET_BANKING,LOYAL,1136,67,0.9306,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,2,966,2,0,0.2828,1,1471.13,3,RECOVERED
TX0000174,C07474,4182.38,UPI,LOYAL,1415,58,0.9122,INVALID_CARD,HARD_FAILURE,0,612,11,1,0.2082,1,4182.38,1,RECOVERED
TX0000175,C03409,2234.38,UPI,RETURNING,427,9,0.8806,INVALID_CARD,HARD_FAILURE,0,1257,16,0,0.1346,0,0.0,1,UNRECOVERED
TX0000177,C03348,1898.83,CREDIT_CARD,RETURNING,269,10,0.7543,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,1,482,11,0,0.291,0,0.0,2,UNRECOVERED
TX0000178,C02217,1336.12,UPI,NEW,46,0,0.7372,BANK_TIMEOUT,TRANSIENT,2,1337,7,0,0.5795,0,0.0,3,ESCALATED
TX0000179,C05984,4449.75,DEBIT_CARD,RETURNING,441,6,0.9701,GATEWAY_TIMEOUT,TRANSIENT,0,1342,2,1,0.9203,1,4449.75,1,RECOVERED
TX0000180,C00467,945.56,CREDIT_CARD,LOYAL,1935,42,0.9713,BANK_TIMEOUT,TRANSIENT,0,513,4,1,0.9648,1,945.56,1,RECOVERED
TX0000182,C04866,2073.81,UPI,NEW,8,0,0.6716,CARD_BLOCKED,HARD_FAILURE,0,895,16,1,0.01,0,0.0,1,UNRECOVERED
TX0000183,C06883,1309.59,WALLET,RETURNING,475,8,0.8708,BANK_SERVER_ERROR,TRANSIENT,1,523,17,0,0.7507,1,1309.59,2,RECOVERED
TX0000186,C05919,26859.52,CREDIT_CARD,RETURNING,462,15,0.8571,NETWORK_ERROR,TRANSIENT,1,947,6,1,0.7896,1,26859.52,2,RECOVERED
TX0000187,C08949,886.07,UPI,LOYAL,972,98,0.977,INVALID_CARD,HARD_FAILURE,1,1212,8,0,0.0995,0,0.0,2,UNRECOVERED
TX0000188,C09658,10094.82,WALLET,LOYAL,946,84,0.9352,EXPIRED_CARD,CUSTOMER_ACTION_REQUIRED,0,170,9,1,0.4211,0,0.0,1,UNRECOVERED
TX0000190,C04804,1581.19,WALLET,NEW,59,3,0.8822,INVALID_CARD,HARD_FAILURE,0,659,13,1,0.0449,0,0.0,1,UNRECOVERED
TX0000191,C00097,1382.5,UPI,LOYAL,1345,23,0.9006,BANK_TIMEOUT,TRANSIENT,0,348,2,1,0.9236,1,1382.5,1,RECOVERED
TX0000192,C08624,204.65,UPI,LOYAL,682,90,0.9836,INVALID_CARD,HARD_FAILURE,0,677,17,1,0.213,0,0.0,1,UNRECOVERED
TX0000193,C01133,1968.64,CREDIT_CARD,LOYAL,1233,84,0.8922,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,1,1227,15,1,0.4204,0,0.0,2,UNRECOVERED
TX0000194,C02047,3169.63,NET_BANKING,RETURNING,143,13,0.917,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,2,925,9,1,0.3161,1,3169.63,3,RECOVERED
TX0000195,C03744,4125.59,CREDIT_CARD,NEW,15,0,0.7255,CARD_BLOCKED,HARD_FAILURE,1,92,4,1,0.01,0,0.0,2,UNRECOVERED
TX0000196,C00457,19290.47,UPI,RETURNING,250,15,0.8521,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,0,1365,22,1,0.5035,1,19290.47,1,RECOVERED
TX0000197,C00532,1288.74,DEBIT_CARD,RETURNING,373,19,0.7942,BANK_SERVER_ERROR,TRANSIENT,1,553,15,0,0.7728,1,1288.74,2,RECOVERED
TX0000198,C04067,3307.02,UPI,LOYAL,852,69,0.9034,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,0,1360,3,0,0.4573,1,3307.02,1,RECOVERED
TX0000199,C09625,3241.43,CREDIT_CARD,NEW,58,1,0.6765,GATEWAY_TIMEOUT,TRANSIENT,2,790,21,0,0.5865,1,3241.43,3,RECOVERED
TX0000201,C03297,1302.72,NET_BANKING,LOYAL,1395,31,0.9633,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,1,1004,17,1,0.432,1,1302.72,2,RECOVERED
TX0000202,C01480,1369.33,WALLET,RETURNING,313,11,0.7999,BANK_SERVER_ERROR,TRANSIENT,2,867,21,0,0.679,0,0.0,3,ESCALATED
TX0000204,C06814,425.73,DEBIT_CARD,RETURNING,65,19,0.7552,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,0,850,2,1,0.383,0,0.0,1,UNRECOVERED
TX0000205,C04941,3623.49,WALLET,NEW,5,3,0.6415,NETWORK_ERROR,TRANSIENT,2,862,18,0,0.5653,0,0.0,3,ESCALATED
TX0000206,C04111,4072.82,CREDIT_CARD,NEW,25,1,0.5002,GATEWAY_TIMEOUT,TRANSIENT,2,1165,0,1,0.5646,0,0.0,3,ESCALATED
TX0000207,C06772,3503.96,UPI,RETURNING,274,17,0.9629,BANK_SERVER_ERROR,TRANSIENT,0,425,2,0,0.8604,1,3503.96,1,RECOVERED
TX0000208,C03079,1818.14,UPI,LOYAL,1830,30,0.9898,GATEWAY_TIMEOUT,TRANSIENT,0,153,8,1,0.9795,1,1818.14,1,RECOVERED
TX0000209,C09945,3340.32,CREDIT_CARD,LOYAL,1601,75,0.9564,EXPIRED_CARD,CUSTOMER_ACTION_REQUIRED,2,167,18,0,0.321,0,0.0,3,ESCALATED
TX0000210,C07040,1908.06,NET_BANKING,NEW,50,0,0.5034,EXPIRED_CARD,CUSTOMER_ACTION_REQUIRED,1,1143,14,1,0.1595,0,0.0,2,UNRECOVERED
TX0000211,C06355,325.68,CREDIT_CARD,RETURNING,466,19,0.9349,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,0,1077,17,1,0.4885,1,325.68,1,RECOVERED
TX0000212,C08315,7155.52,CREDIT_CARD,LOYAL,1851,41,0.9009,CARD_BLOCKED,HARD_FAILURE,0,175,13,0,0.1241,0,0.0,1,UNRECOVERED
TX0000217,C06968,2998.63,UPI,RETURNING,409,30,0.9678,GATEWAY_TIMEOUT,TRANSIENT,0,1074,21,0,0.9582,1,2998.63,1,RECOVERED
TX0000219,C06836,2685.47,CREDIT_CARD,NEW,60,3,0.6157,BANK_SERVER_ERROR,TRANSIENT,0,1005,20,1,0.722,0,0.0,1,UNRECOVERED
TX0000220,C04741,1766.08,UPI,RETURNING,255,30,0.9319,GATEWAY_TIMEOUT,TRANSIENT,0,133,19,1,0.9537,1,1766.08,1,RECOVERED
TX0000223,C06242,5964.93,UPI,LOYAL,502,36,0.9856,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,1,1400,10,0,0.5103,0,0.0,2,UNRECOVERED
TX0000225,C08849,422.14,UPI,LOYAL,1326,78,0.9057,BANK_SERVER_ERROR,TRANSIENT,1,1036,13,1,0.8538,1,422.14,2,RECOVERED
TX0000226,C02274,2994.63,DEBIT_CARD,LOYAL,1063,44,0.9611,FRAUD_SUSPECTED,HARD_FAILURE,2,410,17,1,0.01,0,0.0,3,ESCALATED
TX0000229,C04977,16416.96,CREDIT_CARD,RETURNING,404,21,0.9615,BANK_SERVER_ERROR,TRANSIENT,0,1332,16,0,0.934,1,16416.96,1,RECOVERED
TX0000230,C05348,3004.69,CREDIT_CARD,LOYAL,1037,57,0.9657,FRAUD_SUSPECTED,HARD_FAILURE,0,21,8,1,0.1239,0,0.0,1,UNRECOVERED
TX0000231,C08051,929.31,CREDIT_CARD,NEW,4,3,0.5838,NETWORK_ERROR,TRANSIENT,1,1368,22,0,0.6628,0,0.0,2,UNRECOVERED
TX0000232,C00506,31657.71,DEBIT_CARD,NEW,4,1,0.645,EXPIRED_CARD,CUSTOMER_ACTION_REQUIRED,0,448,15,1,0.2543,0,0.0,1,UNRECOVERED
